source_code,return_reason,rpi_count
MYNTRAPPMP,Generic Return Reason,3
MYNTRAPPMP,Leakage issues,1
MYNTRAPPMP,Primary packaging was damaged,3
MYNTRAPPMP,Product was damaged,3
MYNTRAPPMP,Return expected on panel,3
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,3
SHOPIFY,Customer Preference,34
SHOPIFY,Damaged,11
SHOPIFY,Quality Issue,7
SHOPIFY,Quantity is less,1
SHOPIFY,Wrong product,5
FLIPKART,DAMAGED_PRODUCT,1
FLIPKART,MISSHIPMENT,1
SHOPIFY,cx received damaged shaker,1
AJIO_OMNI,Return expected on panel,32
AMAZON_IN_API,AMZ-PG-APP-STYLE,10
AMAZON_IN_API,AMZ-PG-APP-TOO-LARGE,9
AMAZON_IN_API,AMZ-PG-APP-TOO-SMALL,14
AMAZON_IN_API,CR-DEFECTIVE,1
AMAZON_IN_API,CR-QUALITY_UNACCEPTABLE,1
AMAZON_IN_API,CR-SWITCHEROO,2
AMAZON_IN_API,CR-UNWANTED_ITEM,1
AMAZON_IN_API,NOT_AS_PHOTO,1
CRED,Both product and shipping box are damaged,1
CRED,Defective item,7
CRED,Found better price elsewhere,10
CRED,Incorrect product,22
CRED,Missing items,1
CRED,Product received is different from the image shown,11
FLIPKART,COLOR_SIZE_ISSUE,2
FLIPKART,CUSTOMER_REMORSE,3
FLIPKART,DAMAGED_PRODUCT,3
FLIPKART,MISSHIPMENT,2
FLIPKART,QUALITY_ISSUE,3
FLIPKART,QUALITY_ISSUES,2
FLIPKART,SIZE_FIT_ISSUES,11
FLIPKART,SMART_PICKUP_CHECK_OVERRIDE,1
FLIPKART,STYLE_FIT_ISSUE,12
TATACLIQ,Return expected on panel,32
AMAZON_EASYSHIP,Did not like color,1
AMAZON_EASYSHIP,Performance or quality not adequate,1
AMAZON_EASYSHIP,Too large,2
MYNTRAPPMP,Color is different,1
MYNTRAPPMP,Different product was delivered,2
MYNTRAPPMP,Generic Return Reason,3
MYNTRAPPMP,Return expected on panel,1
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,2
AMAZON_IN_API,AMZ-PG-BAD-DESC,1
AMAZON_IN_API,AMZ-PG-MISORDERED,5
AMAZON_IN_API,CR-DAMAGED_BY_CARRIER,3
AMAZON_IN_API,CR-DAMAGED_BY_FC,7
AMAZON_IN_API,CR-DEFECTIVE,33
AMAZON_IN_API,CR-FOUND_BETTER_PRICE,1
AMAZON_IN_API,CR-MISSING_PARTS,2
AMAZON_IN_API,CR-NOT_COMPATIBLE,4
AMAZON_IN_API,CR-ORDERED_WRONG_ITEM,2
AMAZON_IN_API,CR-QUALITY_UNACCEPTABLE,1
AMAZON_IN_API,CR-SWITCHEROO,11
AMAZON_IN_API,CR-UNWANTED_ITEM,1
CRED,Defective item,12
CRED,Found better price elsewhere,7
CRED,Incorrect product,73
CRED,Missing items,1
CRED,MRP printed on the product is different,1
CRED,"Only product is damaged, shipping box is OK",8
CRED,Product received is different from the image shown,8
CRED,WRONG,10
FIRSTCRY,WRONG,1
FLIPKART,ACCESSORY_DEFECTIVE,2
FLIPKART,COLOR_STYLE_ISSUES,1
FLIPKART,DAMAGED_BROKEN_PRODUCT,4
FLIPKART,DAMAGED_PRODUCT,11
FLIPKART,DEAD_ON_ARRIVAL,21
FLIPKART,DEFECTIVE_PRODUCT,100
FLIPKART,INSTALL_ASSEMBLY_ISSUE,7
FLIPKART,ITEM_NOT_AS_DESCRIBED,1
FLIPKART,MFG_DEFECT_POOR_FINISH,5
FLIPKART,MISSHIPMENT,13
FLIPKART,MISSING_ITEM,1
FLIPKART,QUALITY_ISSUE,12
FLIPKART,QUALITY_ISSUES,7
FLIPKART,SIZE_FIT_ISSUES,7
FLIPKART,SMART_PICKUP_CHECK_OVERRIDE,1
FLIPKART,WRONG,33
MEESHO,null null,72
MEESHO,WRONG,8
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,1
SNAPDEAL,Freebie not received,1
SNAPDEAL,item_appears_used_old,1
SNAPDEAL,item_does_not_match_its_description,1
SNAPDEAL,i_have_an_issue_with_size_fit,2
SNAPDEAL,i_have_received_a_damaged_item_new,2
SNAPDEAL,i_have_received_a_defective_item_new,1
SNAPDEAL,Partial_Order_Received_By_Customer,2
SNAPDEAL,received_a_different_item,3
SNAPDEAL,Same_product_but_inaccurate_description,4
SNAPDEAL,the_item_is_not_working_properly,10
SNAPDEAL,WRONG,2
AMAZON_FLEX_API,Damaged due to inappropriate packaging,1
AMAZON_FLEX_API,Defective/Does not work properly,1
AMAZON_FLEX_API,Incompatible or not useful for intended purpose,3
AMAZON_FLEX_API,No longer needed/wanted,3
AMAZON_FLEX_API,Performance or quality not adequate,7
FLIPKART,COLOR_STYLE_ISSUES,10
MYNTRAPPMP,Received a poor quality product,3
MYNTRAPPMP,Wrong size was delivered,3
AJIO_OMNI,Return expected on panel,112
MYNTRAPPMP,Color is different,10
MYNTRAPPMP,Defective product was delivered,5
MYNTRAPPMP,Delivery was delayed ,3
MYNTRAPPMP,Design is different,3
MYNTRAPPMP,Different product was delivered,7
MYNTRAPPMP,Found a better price on Myntra,3
MYNTRAPPMP,Found a better price outside Myntra,3
MYNTRAPPMP,Generic Return Reason,3
MYNTRAPPMP,I did not like the fit,129
MYNTRAPPMP,I do not need it anymore,16
MYNTRAPPMP,It did not look good on me,37
MYNTRAPPMP,Product image was better than the actual product,18
MYNTRAPPMP,Product looked old,12
MYNTRAPPMP,Received a poor quality product,24
MYNTRAPPMP,Return expected on panel,23
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,1
MYNTRAPPMP,Size is too Large,78
MYNTRAPPMP,Size is too Small,52
MYNTRAPPMP,Wrong size was delivered,3
NYKAA_FASHION,Change of mind - Don't need it anymore,4
NYKAA_FASHION,Didn't like the quality of product,14
NYKAA_FASHION,Product didn't fit- Too Large,14
NYKAA_FASHION,Product didn't fit- Too Small,7
NYKAA_FASHION,Product is Missing,1
NYKAA_FASHION,Received damaged/ defective product,2
AJIO_OMNI,Damaged Product,13
AJIO_OMNI,Other Brand,1
AJIO_OMNI,Return expected on panel,153
AMAZON_FLEX_API,Defective/Does not work properly,1
AMAZON_FLEX_API,Did not like color,2
AMAZON_FLEX_API,Different from website description,1
AMAZON_FLEX_API,Different from what was ordered,3
AMAZON_FLEX_API,Item not as shown by photo on website,1
AMAZON_FLEX_API,Ordered wrong style/size/color,1
AMAZON_FLEX_API,Performance or quality not adequate,10
AMAZON_FLEX_API,Style not as expected,4
AMAZON_FLEX_API,Too large,20
AMAZON_FLEX_API,Too small,22
AMAZON_IN_API,AMZ-PG-APP-STYLE,3
AMAZON_IN_API,AMZ-PG-APP-TOO-LARGE,8
AMAZON_IN_API,AMZ-PG-APP-TOO-SMALL,6
AMAZON_IN_API,CR-DEFECTIVE,1
AMAZON_IN_API,CR-UNWANTED_ITEM,1
FIRSTCRY,Damaged Product,2
FIRSTCRY,Incomplete Product,2
FIRSTCRY,Not Satisfied with Item(s)/Fabric Quality,1
FIRSTCRY,Size Issue,61
FLIPKART,CUSTOMER_REMORSE,10
FLIPKART,Damaged Product,1
FLIPKART,DAMAGED_PRODUCT,1
FLIPKART,Incomplete Product,2
FLIPKART,MISSHIPMENT,4
FLIPKART,QUALITY_ISSUES,20
FLIPKART,SIZE_FIT_ISSUES,80
MYNTRAPPMP,Color is different,6
MYNTRAPPMP,Defective product was delivered,5
MYNTRAPPMP,Delivery was delayed ,1
MYNTRAPPMP,Design is different,3
MYNTRAPPMP,Different product was delivered,9
MYNTRAPPMP,Found a better price on Myntra,1
MYNTRAPPMP,Found a better price outside Myntra,2
MYNTRAPPMP,Generic Return Reason,1
MYNTRAPPMP,I did not like the fit,58
MYNTRAPPMP,I do not need it anymore,9
MYNTRAPPMP,It did not look good on me,19
MYNTRAPPMP,Product image was better than the actual product,8
MYNTRAPPMP,Product looked old,10
MYNTRAPPMP,Product was dirty and had stains,1
MYNTRAPPMP,Received a poor quality product,28
MYNTRAPPMP,Return expected on panel,3
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,3
MYNTRAPPMP,Size is too Large,139
MYNTRAPPMP,Size is too Small,125
MYNTRAPPMP,Wrong size was delivered,3
SNAPDEAL,Damaged Product,1
SNAPDEAL,Return expected on panel,12
TATACLIQ,Return expected on panel,7
AJIO_OMNI,Return expected on panel,1
AMAZON_FLEX_API,Did not like color,1
AMAZON_FLEX_API,Different from website description,1
AMAZON_FLEX_API,Different from what was ordered,4
AMAZON_FLEX_API,Item not as shown by photo on website,1
AMAZON_FLEX_API,Performance or quality not adequate,7
AMAZON_FLEX_API,Too large,1
FLIPKART,CUSTOMER_REMORSE,5
FLIPKART,finishing,2
FLIPKART,MISSHIPMENT,3
FLIPKART,QUALITY_ISSUES,11
FLIPKART,SIZE_FIT_ISSUES,6
LIMEROAD,NA,2
LIMEROAD,Return expected on panel,1
MYNTRAPPMP,Color is different,2
MYNTRAPPMP,Delivery was delayed ,1
MYNTRAPPMP,Design is different,1
MYNTRAPPMP,I did not like the fit,1
MYNTRAPPMP,It did not look good on me,2
MYNTRAPPMP,Product image was better than the actual product,2
MYNTRAPPMP,Received a poor quality product,3
AJIO_OMNI,,3
AJIO_OMNI,Return expected on panel,99
AMAZON_EASYSHIP,Too large,1
AMAZON_FLEX_API,Better price available,1
AMAZON_FLEX_API,Defective/Does not work properly,4
AMAZON_FLEX_API,Did not like color,1
AMAZON_FLEX_API,Different from website description,6
AMAZON_FLEX_API,Different from what was ordered,11
AMAZON_FLEX_API,Item not as shown by photo on website,6
AMAZON_FLEX_API,Missing parts or accessories,1
AMAZON_FLEX_API,No longer needed/wanted,1
AMAZON_FLEX_API,Ordered wrong style/size/color,1
AMAZON_FLEX_API,Performance or quality not adequate,14
AMAZON_FLEX_API,Style not as expected,15
AMAZON_FLEX_API,Too large,32
AMAZON_FLEX_API,Too small,33
FLIPKART,,1
FLIPKART,CUSTOMER_REMORSE,18
FLIPKART,DAMAGED_PRODUCT,2
FLIPKART,DEFECTIVE_PRODUCT,1
FLIPKART,MISSHIPMENT,9
FLIPKART,MULTIPLE_ISSUES_WITH_PRODUCT,5
FLIPKART,QUALITY_ISSUES,29
FLIPKART,SIZE_FIT_ISSUES,106
FLIPKART,SMART_PICKUP_CHECK_OVERRIDE,16
LIMEROAD,Return expected on panel,6
MYNTRAPPMP,Color is different,14
MYNTRAPPMP,Defective product was delivered,8
MYNTRAPPMP,Delivery was delayed ,2
MYNTRAPPMP,Design is different,9
MYNTRAPPMP,Different product was delivered,7
MYNTRAPPMP,Found a better price on Myntra,1
MYNTRAPPMP,Found a better price outside Myntra,2
MYNTRAPPMP,Generic Return Reason,1
MYNTRAPPMP,I did not like the fit,48
MYNTRAPPMP,I do not need it anymore,2
MYNTRAPPMP,It did not look good on me,22
MYNTRAPPMP,Product image was better than the actual product,7
MYNTRAPPMP,Product looked old,7
MYNTRAPPMP,Product was dirty and had stains,2
MYNTRAPPMP,Received a poor quality product,18
MYNTRAPPMP,Return expected on panel,6
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,9
MYNTRAPPMP,Size is too Large,35
MYNTRAPPMP,Size is too Small,40
MYNTRAPPMP,Wrong size was delivered,2
NYKAA_COM,Didn't like the quality of product,1
NYKAA_FASHION,Product didn't fit- Too Small,1
NYKAA_FASHION,Received wrong product- Wrong item sent,1
SNAPDEAL,Return expected on panel,14
TATACLIQ,,1
TATACLIQ,Return expected on panel,15
TATA_CLIQ,Return expected on panel,4
FLIPKART,CUSTOMER_REMORSE,3
FLIPKART,DAMAGED_PRODUCT,1
FLIPKART,MISSHIPMENT,1
FLIPKART,QUALITY_ISSUES,16
FLIPKART,SIZE_FIT_ISSUES,47
MYNTRAPPMP,Color is different,4
MYNTRAPPMP,Delivery was delayed ,1
MYNTRAPPMP,Design is different,3
MYNTRAPPMP,Found a better price on Myntra,1
MYNTRAPPMP,I did not like the fit,40
MYNTRAPPMP,I do not need it anymore,3
MYNTRAPPMP,It did not look good on me,18
MYNTRAPPMP,Product image was better than the actual product,8
MYNTRAPPMP,Product looked old,2
MYNTRAPPMP,Received a poor quality product,19
MYNTRAPPMP,Return expected on panel,9
MYNTRAPPMP,Size is too Large,11
MYNTRAPPMP,Size is too Small,45
FLIPKART,DAMAGED_PRODUCT,1
FIRSTCRY,Size Issue,2
MYNTRAPPMP,Color is different,2
MYNTRAPPMP,Different product was delivered,1
MYNTRAPPMP,I did not like the fit,12
MYNTRAPPMP,I do not need it anymore,1
MYNTRAPPMP,Product image was better than the actual product,1
MYNTRAPPMP,Product looked old,1
MYNTRAPPMP,Received a poor quality product,2
MYNTRAPPMP,Size is too Large,6
MYNTRAPPMP,Size is too Small,10
FLIPKART,CUSTOMER_REMORSE,15
FLIPKART,DAMAGED_PRODUCT,3
FLIPKART,MISSHIPMENT,6
FLIPKART,MULTIPLE_ISSUES_WITH_PRODUCT,1
FLIPKART,QUALITY_ISSUES,62
FLIPKART,SIZE_FIT_ISSUES,222
MYNTRAPPMP,Color is different,143
MYNTRAPPMP,Defective product was delivered,70
MYNTRAPPMP,Delivery was delayed ,17
MYNTRAPPMP,Design is different,52
MYNTRAPPMP,Different product was delivered,70
MYNTRAPPMP,Found a better price on Myntra,32
MYNTRAPPMP,Found a better price outside Myntra,25
MYNTRAPPMP,Generic Return Reason,32
MYNTRAPPMP,I did not like the fit,1301
MYNTRAPPMP,I do not need it anymore,135
MYNTRAPPMP,It did not look good on me,338
MYNTRAPPMP,Product image was better than the actual product,154
MYNTRAPPMP,Product looked old,161
MYNTRAPPMP,Product was dirty and had stains,25
MYNTRAPPMP,Received a poor quality product,306
MYNTRAPPMP,Return expected on panel,296
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,29
MYNTRAPPMP,Size is too Large,1010
MYNTRAPPMP,Size is too Small,852
MYNTRAPPMP,Wrong size was delivered,17
NYKAA_COM,Didn't like the quality of product,3
NYKAA_COM,Product didn't fit - Too Large,7
NYKAA_COM,Product didn't fit - Too Small,2
NYKAA_COM,Received damaged/defective product,1
NYKAA_COM,Received wrong product - Wrong size sent,2
NYKAA_FASHION,Change of mind - Don't need it anymore,29
NYKAA_FASHION,Change of mind - Not As Expected,1
NYKAA_FASHION,Didn't like the quality of product,69
NYKAA_FASHION,Emergency - without QC,1
NYKAA_FASHION,Incomplete Product or Set,1
NYKAA_FASHION,Product didn't fit- Too Large,159
NYKAA_FASHION,Product didn't fit- Too Small,90
NYKAA_FASHION,Product is Missing,1
NYKAA_FASHION,Received damaged/ defective product,11
NYKAA_FASHION,Received wrong product- Wrong item sent,10
NYKAA_FASHION,Received wrong product- Wrong size sent,2
NYKAA_FASHION,Return expected on panel,2
TATACLIQ,Return expected on panel,211
HEALTHKART,,48
MYNTRAPPMP,Defective product was delivered,1
MYNTRAPPMP,Different product was delivered,2
MYNTRAPPMP,Different shade/color/size,2
MYNTRAPPMP,Leakage issues,1
MYNTRAPPMP,Return expected on panel,2
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,2
AJIO_OMNI,Return expected on panel,29
AMAZON_FLEX_API,Performance or quality not adequate,1
AMAZON_FLEX_API,Too large,1
AMAZON_FLEX_API,Too small,4
AMAZON_IN_API,,19
FLIPKART,,7
FLIPKART,CUSTOMER_REMORSE,2
FLIPKART,flipkart return,6
FLIPKART,QUALITY_ISSUES,5
FLIPKART,SIZE_FIT_ISSUES,14
MYNTRAPPMP,Color is different,1
MYNTRAPPMP,Different product was delivered,1
MYNTRAPPMP,I did not like the fit,1
MYNTRAPPMP,It did not look good on me,2
MYNTRAPPMP,myntra return,1
MYNTRAPPMP,Product looked old,1
MYNTRAPPMP,Received a poor quality product,2
MYNTRAPPMP,Return expected on panel,1
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,1
MYNTRAPPMP,Size is too Large,1
MYNTRAPPMP,Size is too Small,3
TATACLIQ,Return expected on panel,2
MYNTRAPPMP,Color is different,3
MYNTRAPPMP,Defective product was delivered,5
MYNTRAPPMP,Different product was delivered,4
MYNTRAPPMP,Found a better price on Myntra,1
MYNTRAPPMP,I did not like the fit,31
MYNTRAPPMP,I do not need it anymore,1
MYNTRAPPMP,It did not look good on me,7
MYNTRAPPMP,Product image was better than the actual product,1
MYNTRAPPMP,Product looked old,2
MYNTRAPPMP,Received a poor quality product,2
MYNTRAPPMP,Return expected on panel,5
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,1
MYNTRAPPMP,Size is too Large,24
MYNTRAPPMP,Size is too Small,16
NYKAA_FASHION,Change of mind - Don't need it anymore,1
NYKAA_FASHION,Didn't like the quality of product,7
NYKAA_FASHION,Product didn't fit- Too Large,4
NYKAA_FASHION,Product didn't fit- Too Small,3
SHOPIFY,,10
SHOPIFY,Any other reason,4
SHOPIFY,Colour is different from expected,1
SHOPIFY,Material quality is not as expected,2
SHOPIFY,Received a damaged/defective product,1
SHOPIFY,Size is bigger than expected,6
SHOPIFY,"Size is correct, but the product does not fit well",8
SHOPIFY,Size is smaller than expected,9
TATACLIQ,Return expected on panel,2
TATACLIQ,Reversed,1
AMAZON_IN_API,CR-SWITCHEROO,1
FLIPKART,MISSHIPMENT,1
FLIPKART,undefined,2
HYPD,,4
MEESHO,null null,21
MYNTRAPPMP,Different product,1
MYNTRAPPMP,Different shade/color/size,3
MYNTRAPPMP,Product was damaged,4
MYNTRAPPMP,Return Reason - Thanos ROH approval flow,1
MYNTRAPPMP,undefined,2
SHOPIFY,,5
SHOPIFY,undefined,7
AMAZON_EASYSHIP,Defective/Does not work properly,2
AMAZON_EASYSHIP,Missing parts or accessories,1
AMAZON_EASYSHIP,Style not as expected,2
AMAZON_EASYSHIP,Too large,3
AMAZON_EASYSHIP,Too small,7
MYNTRAPPMP,Defective product was delivered,1
MYNTRAPPMP,Delivery was delayed ,1
MYNTRAPPMP,Design is different,1
MYNTRAPPMP,Found a better price on Myntra,1
MYNTRAPPMP,I did not like the fit,5
MYNTRAPPMP,I do not need it anymore,1
